model,train_accuracy,test_accuracy,f1,roc_auc,pr_auc,gap
Random Forest,0.9833176691729323,0.7584586466165414,0.808351976137211,0.8265577134923869,0.8881492267903848,0.2248590225563909
ANFIS (3 funkcje),0.7958176732063293,0.7537593841552734,,,,0.04205828905105591
SVM,0.7890037593984962,0.7518796992481203,0.8122332859174964,0.8157152127001374,0.8698622293324615,0.03712406015037595
Neural Network,0.7593985199928284,0.7453007518796992,0.7867820613690008,0.8041144159234612,0.8704135902055443,0.014097768113129128
ANFIS (2 funkcje),0.7774906158447266,0.7424812316894531,,,,0.03500938415527344
